Firma,Bundesland,PLZ,Ort,Straße
Isomed Kamen Reha Kamen,Nordrhein-Westfalen,59174,Kamen,Lünener Str. 64
Jumpin' Physiotherapie,Sachsen,1127,Dresden,Bürgerstr.74
Just More Fitness Bergneustadt,Nordrhein-Westfalen,51702,Bergneustadt,Kölner Str. 404
Just More Fitness Lennestadt,Nordrhein-Westfalen,57368,Lennestadt,Im Wigey 3
Kabra Training GmbH,Nordrhein-Westfalen,44137,Dortmund,Rheinische Str. 41
Kai Mehrens PHYSIOWORLD,Schleswig-Holstein,23775,Großenbrode,Südstrand 1
KH Maria-Hilf GmbH Krefeld KreVital Institut,Nordrhein-Westfalen,47805,Krefeld,Oberdießemerstr.136
Kintro GmbH,Nordrhein-Westfalen,47807,Krefeld,Erkelenzer Straße 81-83
Kneippbund-LV NRW e.V.,Nordrhein-Westfalen,45355,Essen,Marktstr. 34
Kneipp-Verein Schorndorf e.V.,Baden-Württemberg,73614,Schorndorf,Grabenstr. 28
Köler GbR,Hessen,63526,Erlensee,Leipzigerstr. 47
Konsultti  Tobias Daennart,Nordrhein-Westfalen,41569,Rommerskirchen,Bunzlauer Weg 11
KORPEO GmbH & Co KG,Hessen,60318,Frankfurt am Main,Oeder Weg 2-4
Körper & Geist Physiotherapie,Brandenburg,15299,Müllrose,Gewerbeparkring 33
Körper & Seele Physiotherapie,Sachsen-Anhalt,39218,Schönebeck,Badepark 3
Körpercentrum Hohlfeld,Sachsen,1067,Dresden,Könneritzstraße 31
Körpermanufaktur Sabrina Schoofs,Nordrhein-Westfalen,47608,Geldern,Winnekendonker Str. 23
Körpermitte - Praxis für Physiotherapie Eileen Schlieker,Nordrhein-Westfalen,37671,Höxter,Holzmindener Straße 15
Körperwelt Fitness- und Rehazentrum UG,Hessen,37213,Witzenhausen,Bischhäuser Aue 12
Körperwerkstatt- Praxis für Physiotherapie,Nordrhein-Westfalen,32351,Stemwede,Propsteiweg 2
KraftPLUS,Nordrhein-Westfalen,44627,Herne,Mont-Cenis-Str. 267 a
Krankengymnastik V. Spentzas,Nordrhein-Westfalen,49525,Lengerich,Zur alten Gießerei 1
Krankengymnastik Voß,Nordrhein-Westfalen,44799,Bochum,Stiepeler Str. 22
Kreuz-Punkt GmbH,Rheinland-Pfalz,56457,Westerburg,Hergenrother Strasse 2a
Krüger Physiotherapie,Niedersachsen,21762,Otterndorf,Cuxhavener Str. 21
Kur- und Badehaus,Hessen,34131,Kassel,Wilhelmshöher Allee 361
Kurbetriebe der Stadt Bad Breisig Römer-Thermen,Rheinland-Pfalz,53498,Bad Breisig,Albert-Mertes-Straße 11
Kurhaus im Grugapark gGmbH,Nordrhein-Westfalen,45131,Essen,Lührmannstraße 70
La Corpa,Hessen,34537,Bad Wildungen,Industriestr. 10
Lady Vital Fitnessstudio,Hessen,36179,Bebra,Mühlenstrasse 2-6
Lagune Cottbus GmbH,Brandenburg,3044,Cottbus,Sielower Landstr. 19
Lahn-Dill-Kliniken GmbH,Hessen,35578,Wetzlar,Forsthausstraße 1-3
Leif Bosch,Nordrhein-Westfalen,47198,Duisburg,Halenerstr. 78
Lieser Fitness,Rheinland-Pfalz,67141,Neuhofen,Industriestraße 22
Life and Art,Baden-Württemberg,74564,Crailsheim,Werner-von-Siemens-Str. 21
LifeForce,Baden-Württemberg,74564,Crailsheim,Werner von Siemensstr. 6
Living Gesundheit & Fitness,Thüringen,99817,Eisenach,Frauenplan 8
Luisenhospital Aachen,Nordrhein-Westfalen,52064,Aachen,Boxgraben 99
Marcus Krüger - Gesundheitszentrum,Nordrhein-Westfalen,33649,Bielefeld,Carl-Severing-Straße 77
Mariposa Kell am See GbR,Rheinland-Pfalz,54427,Kell am See,Raiffeisenplatz 1
Martineum Altenhilfe gemein. Betriebsgesellschaft mbH,Nordrhein-Westfalen,45276,Essen,Augenerstr. 36
Marzena Jostes,Nordrhein-Westfalen,33102,Paderborn,Ransohoffweg 10
Max Sport Freizeit u. Fitness GmbH & Co. KG,Nordrhein-Westfalen,57439,Attendorn,Am Eckenbach 22
MCR Physioteam,Nordrhein-Westfalen,47119,Duisburg,Ruhrorter Str. 195
Med. Fitness und Physiotherapie,Baden-Württemberg,97896,Freudenberg,Am Brennplatz 5
Medi - Zentrum Neumann,Rheinland-Pfalz,54516,Wittlich,Kurfürstenstraße 37
MEDI Zentrum,Baden-Württemberg,74538,Rosengarten,Schollenäcker 2
Median AGZ Düsseldorf,Nordrhein-Westfalen,40221,Düsseldorf,Fährstraße 1
MEDIAN Ambulantes Gesundheitszentrum Leipzig GmbH,Sachsen,4109,Leipzig,Käthe-Kollwitz-Straße 8-10
Medical Concept,Rheinland-Pfalz,66909,Herschweiler-Pettersheim,Hauptstrasse 144
Medico Fitness- und Gesundheitszentrum GmbH,Nordrhein-Westfalen,44319,Dortmund,Hildebrandtstr. 7
Medico Therapiezentrum Norbert Rößeling,Niedersachsen,30453,Hannover,Heisterbergallee 105
medicos.Osnabrück GmbH,Niedersachsen,49080,Osnabrück,Weidenstr. 2-4
Medictrain GmbH,Nordrhein-Westfalen,52156,Monschau,Trierer Str. 89
Medifit GmbH,Thüringen,7743,Jena,Michael-Häußler-Weg 12
Medifit Moers,Nordrhein-Westfalen,47441,Moers,Repelener Str. 2
Medifit TZT Telgte GmbH,Nordrhein-Westfalen,48291,Telgte,Gildeweg 4a
MEDIPARG GmbH,Hessen,60594,Frankfurt am Main,Schulstraße 31
Medi-Sport-Gym,Hessen,36251,Bad Hersfeld,Kleine Industriestr. 2a
MediTrain Rehasport e.V.,Nordrhein-Westfalen,41542,Dormagen,An der Sausweide 6
MedReha Lahn-Dill GmbH,Hessen,35578,Wetzlar,Forsthausstraße 1-3
MEIN CLUB - be fit UG,Nordrhein-Westfalen,41751,Viersen,Viersener Straße 99a
Michael Lins,Brandenburg,16348,Wandlitz,Waldweg 3c
MiLa Fit GmbH,Nordrhein-Westfalen,59469,Ense,Zur Waterlappe 7
Millennium Sports Franke & Franke GbR,Nordrhein-Westfalen,34414,Warburg,Kasseler Tor 17
Move Kids - Mauro Enge,Nordrhein-Westfalen,48431,Rheine,Elpersstiege 53
moves Gesundheitsstudio Buxtehude GmbH & Co. KG,Niedersachsen,21614,Buxtehude,Stieglitzweg 4
MRM gGmbH,Sachsen-Anhalt,6112,Halle (Saale),Merseburger Str. 41
musculus,Niedersachsen,28816,Stuhr,Bremer Weg 1
MYGYM Feldstetten,Baden-Württemberg,89150,Feldstetten,Delaustrasse 7
MYOKRAFT Physiotherapie GmbH,Nordrhein-Westfalen,47623,Kevelaer,Neustraße 15
Naturmethode e.V.,Sachsen,1328,Dresden,Bautzner Landstr.279
n-ergy Fitness-Center,Nordrhein-Westfalen,32839,Steinheim,Billerbecker Str. 77
Neukirchener Turnverein 1886 e. V.,Nordrhein-Westfalen,51381,Leverkusen,Burscheider Straße 178
New Galaxy GmbH,Rheinland-Pfalz,55232,Alzey,Talstraße 1
NIB Gmbh & Co.KG,Nordrhein-Westfalen,50933,Köln,Stolberger Str. 307-309
Novamedi SHS GmbH,Nordrhein-Westfalen,33758,Schloß Holte-Stukenbrock,Kaunitzerstraße 46
NOVOTERGUM GmbH,Nordrhein-Westfalen,45219,Essen,Im Teelbruch 118
Olymp Sportpark Dorsten e.V.,Nordrhein-Westfalen,46282,Dorsten,Kirchhellener Allee 100
Olympic-Gesundheitszentrum,Baden-Württemberg,74575,Schrozberg,Blaufendener Straße 8
Orthopädisches Rücken- und Gelenkzentrum Stendal,Sachsen-Anhalt,39576,Stendal,Bismarckstraße 12 - 14
Orthos Sport,Baden-Württemberg,71101,Schönaich,Im Vogelsang 1
Pflegehotel Willingen GmbH,Hessen,34508,Willingen,Zum Kurgarten 11
Physanja Physiotherapie Platzk,Sachsen,2957,Krauschwitz,Muskauer Str.25
Physio & Ergo Fit Hamm GmbH,Nordrhein-Westfalen,59077,Hamm,Fangstraße 8
Physio am Bahnhof - Pohl/Lamprecht GbR,Brandenburg,14473,Potsdam,Altes Bahnwerk 8
physio balance GmbH und Co. KG,Berlin,10369,Berlin,Franz-Jacob-Straße10
Physio Direkt,Nordrhein-Westfalen,41189,Mönchengladbach,Trompeterallee 5
Physio Fit Plus - Bartolomeo Brizzi,Hessen,34613,Schwalmstadt,Schimmelpfengstraße 6
Physio Gym Selina Franke,Thüringen,4600,Altenburg,Wettinerstraße 13
Physio Plus Soest GmbH,Nordrhein-Westfalen,59494,Soest,Oestinghauser Straße 38
Physio Praxis Hohenhausen,Nordrhein-Westfalen,32689,Kalletal,Rintelner Str.15
Physio Rehamed,Hessen,63456,Hanau,Seligenstädter Str. 61
Physio und Ergotherapie - Centrum Pia Gebhardt,Sachsen,9456,Annaberg-Buchholz,Adam-Ries-Straße 57A
Physio- und Ergotherapie Beatrix Zeisler,Berlin,10409,Berlin,Greifswalder Str. 89
Physio und Fitness,Nordrhein-Westfalen,40764,Langenfeld,Schulstraße 1
Physio Vita,Nordrhein-Westfalen,32791,Lage,Rhienstraße 33
Physio Vital 360 - Walter Keizer,Nordrhein-Westfalen,48477,Hörstel,Gelsbach 10
Physio Zentrum Atas,Nordrhein-Westfalen,51709,Marienheide,Hauptstraße 98
Physio Zentrum Meckenheim,Nordrhein-Westfalen,53340,Meckenheim,Auf dem Steinbüchel 8a
PhysioAkti.v Susanne Karsunky,Sachsen,8315,Lauter-Bernsbach,Dietrich Bonhoeffer Straße 11
Physioaktiv,Rheinland-Pfalz,56068,Koblenz,Viktoriastr. 32-36
Physio-aktiv Physiotherapie Andreas Cordes,Schleswig-Holstein,21502,Geesthacht,Bergedorfer Str. 58
PhysioAktivSchilling,Thüringen,4600,Altenburg,Darwinstr.1
"PhysioCenter Kock, ter Stal, de Klein, Appelo",Nordrhein-Westfalen,46236,Bottrop,Horsterstraße 6-8
Physiodom Therapiepraxis Joey Thomas,Rheinland-Pfalz,56766,Ulmen,Eifel-Maar-Park 10
Physio-Fit,Rheinland-Pfalz,53560,Vettelschoß,Erlenweg 3
PHYSIO-FIT,Nordrhein-Westfalen,57368,Lennestadt,Zur Naturbühne 4
PhysioLife Gmbh,Rheinland-Pfalz,55124,Mainz,Am Sägewerk 23
PHYSIOMED SÜD GmbH,Berlin,12355,Berlin,Waßmannsdorfer Chaussee 5
PhysioPlus GmbH Meyer & Meloh,Nordrhein-Westfalen,33378,Rheda-Wiedenbrück,Birnstraße 2
PhysioPlus Praxis für Physiotherapie Anja Kölmel,Baden-Württemberg,76461,Muggensturm,Vogesenstr. 41
PhysioPlus Wuppertal,Nordrhein-Westfalen,42275,Wuppertal,Berliner Str. 39 a/b
PhysioPlusSports,Nordrhein-Westfalen,50859,Köln,Hauptstraße 36-38
PhysioPoint David Pelzer,Rheinland-Pfalz,54343,Föhren,Europa-Allee 8
PhysioPoint Hauger,Baden-Württemberg,77977,Rust,Franz-Sales-Str. 23
"Physio-Praxis Crynen, Inh. Jan Ojeda Suarez",Nordrhein-Westfalen,41366,Schwalmtal,Dülkener Str. 35
Physioserv GmbH,Nordrhein-Westfalen,59423,Unna,Käthe-Kollwitz-Ring 30
Physioteam Reese,Nordrhein-Westfalen,58644,Iserlohn,Untergrünerstr. 208
Physioteam Ute Dütsch,Nordrhein-Westfalen,48369,Saerbeck,Ferriéres-Str. 5
Physioteam Zimmermann,Nordrhein-Westfalen,45888,Gelsenkirchen,Grütershof 8
Physiotherapie Albert Jan Dommerholt,Nordrhein-Westfalen,48734,Reken,Hauptstraße 29
Physiotherapie am Kirchberg,Rheinland-Pfalz,56626,Andernach,Kramgasse 9-11
Physiotherapie an der Birkenallee,Niedersachsen,49076,Osnabrück,Birkenallee 11
Physiotherapie Andreas Schulze,Brandenburg,15848,Beeskow,Radinkendorf 36
Physiotherapie Annabell Schlüter,Nordrhein-Westfalen,59505,Bad Sassendorf,Alleestraße 5
Physiotherapie Arkadius Cichy,Nordrhein-Westfalen,48157,Münster,An der Kleinmannbrücke 52
Physiotherapie Astrid Grap,Brandenburg,16259,Bad Freienwalde,Berliner Str. 1
Physiotherapie Borrmann,Sachsen,9212,Limbach-Oberfrohna,Am Hohen Hain 18
Physiotherapie Brechten,Nordrhein-Westfalen,44339,Dortmund,Evingerstr. 505
Physiotherapie Christoph Koch,Nordrhein-Westfalen,32479,Hille,Mindener Str. 67
Physiotherapie Constance Morgenstern,Sachsen,9114,Chemnitz,Wittgensdorfer Str. 2a
Physiotherapie Dennis Cousen,Nordrhein-Westfalen,44866,Bochum,Voedestr. 69-71
Physiotherapie Doris Wohlgemuth,Niedersachsen,26215,Wiefelstede,Alter Damm 13
Physiotherapie Droudiani,Nordrhein-Westfalen,52064,Aachen,Lütticher Str. 20
Physiotherapie Eichner,Brandenburg,15890,Eisenhüttenstadt,Poststrasse 21
Physiotherapie Engelmayer,Nordrhein-Westfalen,40477,Düsseldorf,Kaiserswerther Str. 20
Physiotherapie Faust,Niedersachsen,26160,Bad Zwischenahn,Seestraße 1
Physiotherapie Florian Zels,Bayern,94107,Untergriesbach,Gottsdorfer Str. 9
Physiotherapie Frank Zwetsloot,Nordrhein-Westfalen,51645,Gummersbach,Kölner Str. 2
Physiotherapie Gabriele Reh,Niedersachsen,30938,Burgwedel,Von-Alten-Str. 21 A
Physiotherapie Glück Auf Bohemann&El-Ashmawy GbR,Nordrhein-Westfalen,44339,Dortmund,Deutsche Straße 7
Physiotherapie Handarbeit,Nordrhein-Westfalen,46282,Dorsten,Marler Straße 3
Physiotherapie Haneke,Nordrhein-Westfalen,32694,Dörentrup,Poststraße 7
Physiotherapie Haustein,Sachsen,1796,Pirna,Straße der Jugend 4
Physiotherapie Hoffbauer,Rheinland-Pfalz,56659,Burgbrohl,Brohltalstraße 79
Physiotherapie in Polle,Niedersachsen,37647,Polle,Burgstraße 1
Physiotherapie Ines Hildebrand,Thüringen,37327,Leinefelde,Ginsterweg 26
Physiotherapie Jan Pieper,Nordrhein-Westfalen,48369,Saerbeck,Grevener Str. 2
Physiotherapie Kaiser,Rheinland-Pfalz,54538,Bausendorf,Mittelflur 2
Physiotherapie Katrin Hofmann,Brandenburg,16845,Neustadt,Segeletzer Str. 10
Physiotherapie Kerstan,Sachsen,4179,Leipzig,Georg-Schwarz-Str. 139/141
Physiotherapie Mandy Otto,Brandenburg,16303,Schwedt,Hans-Beimler-Straße 2
Physiotherapie Marc Henkel,Nordrhein-Westfalen,44805,Bochum,Suitbertweg 2
Physiotherapie Marek Domin,Nordrhein-Westfalen,51149,Köln,Theodor-Heuss-Str. 43-45
Physiotherapie Marion Steitzer,Sachsen-Anhalt,39539,Havelberg,Alte Kirchstrasse 3
Physiotherapie Max Fechner Bewegungsraum,Thüringen,96523,Steinach,Karl-Friedrich-Weigelt Str.5
Physiotherapie Müller,Brandenburg,14913,Jüterbog,Wursthof 6
Physiotherapie Nadine Leonhardt,Brandenburg,4910,Elsterwerda,Packhofstr. 2
Physiotherapie Nähring,Niedersachsen,48480,Spelle,Zur Kampelbrücke 50
Physiotherapie Nohles,Hessen,61276,Weilrod,Heidestraße 56
Physiotherapie Olaf Brandt - Wittstock,Brandenburg,16909,Wittstock,Perleberger Str. 11a
Physiotherapie Piotrowski - Rehasport,Nordrhein-Westfalen,58708,Menden,Am Papenbusch 32
Physiotherapie Promino,Nordrhein-Westfalen,45136,Essen,Rellinghauser Str. 304
Physiotherapie Sagart,Sachsen,4315,Leipzig,Eisenbahnstraße 37
Physiotherapie Sandra Rothe,Thüringen,7318,Saalfeld,Kastanienweg 3
Physiotherapie Schmidt MA-Wallstadt,Baden-Württemberg,68259,Mannheim,Mosbacher Straße 21
Physiotherapie Schwarz & Hofmeister,Sachsen-Anhalt,39167,Irxleben,Am Stadtfeld 2
Physiotherapie Sebastian Malcherczyk,Nordrhein-Westfalen,58239,Schwerte,Friedrich-Hegel Straße 116
Physiotherapie Sonnenberg GmbH,Sachsen,8393,Meerane,Am Bürgergarten 9
Physiotherapie Sonnenschein,Berlin,13086,Berlin,Langhansstraße 110
Physiotherapie Stefanie Kind,Niedersachsen,38543,Hillerse,Hirtenwiese 2
Physiotherapie Sylvia Leimbach,Thüringen,99837,Stadt Werra-Suhl-Tal,Robert-Koch-Str. 14
Physiotherapie T. Granitzki,Sachsen-Anhalt,39307,Genthin,Altenplathower Str. 54
Physiotherapie Thorsten Quadflieg,Rheinland-Pfalz,53572,Unkel,Siebengebirgsstr. 2a
Physiotherapie Timm,Sachsen,2957,Weißkeißel,Weideweg 2
Physiotherapie Vicky Henze,Sachsen-Anhalt,6686,Lützen,Lindenweg 20
Physiotherapie Witzel - Dachwig,Thüringen,99100,Dachwig,Herbslebener Str. 5
Physiotherapiepraxis Dagmar Müller,Niedersachsen,37115,Duderstadt,Ziegeleistr. 6
Physiotherapiepraxis Georg Drenker,Baden-Württemberg,71093,Weil im Schönbuch,Charlottenstraße 7
Physiotherapiepraxis Myriam Cicilano,Nordrhein-Westfalen,58553,Halver,Marktstraße 8
PhysioTherapieZentrum Andreas Bertsch,Thüringen,36466,Dermbach,Dermbacher Straße 21d
Physiowelt,Nordrhein-Westfalen,33829,Borgholzhausen,Hamlingdorfer Weg 1C
Physiozentrum Hörnemann,Nordrhein-Westfalen,48712,Gescher,Katharinenstraße 21
Power Factory GmbH,Berlin,12627,Berlin,Tangermünder Str. 129
Praeventi Institut f. Prävention Therapie und Rehabilitation,Sachsen-Anhalt,38820,Halberstadt,Wehrstedter Str. 48a
Prävention & Sportpraxis,Brandenburg,14548,Schwielowsee,Hauffstraße 90/91
Präventions- und Gesundheitstraining Aachen e.V.,Nordrhein-Westfalen,52062,Aachen,Friedrich-Wilhelm-Platz 5-6
Präventions- und Rehabilitationssport - Thomas Fischer,Nordrhein-Westfalen,33605,Bielefeld,Rosengarten 9a
Präventions- und Rehasportverein Heide e.V.,Schleswig-Holstein,25746,Heide,Waldschlößchenstraße 79
Praxis am Park Betriebsgesellschaft mbH,Nordrhein-Westfalen,41515,Grevenbroich,Ostwall 1b
Praxis Baskan-Gassen & Krumme,Nordrhein-Westfalen,46244,Bottrop,Johann-Breuker-Platz 1b
Praxis Body & Soul,Rheinland-Pfalz,55595,Hüffelsheim,In der Liehwiese 20
Praxis Böttge,Hamburg,22455,Hamburg,Nordalnbingerweg 15
Praxis für Ergotherapie Anika Joswiak,Nordrhein-Westfalen,57368,Lennestadt,Bilsteiner Markt 3
Praxis für Krankengymnastik & Podologie Klein & Swietek GbR,Nordrhein-Westfalen,57334,Bad Laasphe,Sebastian-Kneipp-Str. 10
Praxis für Krankengymnastik Arjen de Regt,Nordrhein-Westfalen,44579,Castrop-Rauxel,Berliner Platz 8
Praxis für Physiotherapie - Rüdiger Dirksen,Nordrhein-Westfalen,59510,Lippetal,Kossberg 1
Praxis für Physiotherapie & med. Training,Nordrhein-Westfalen,48161,Münster,Feldstiege 102
Praxis für Physiotherapie Ann-Christin Henn-Gehlken,Niedersachsen,21244,Buchholz,Buchholzer Landstraße 62
Praxis für Physiotherapie Cornelis Admiraal,Nordrhein-Westfalen,42929,Wermelskirchen,Friedhofstr. 4b
Praxis für Physiotherapie Fabian Unger,Schleswig-Holstein,23769,Fehmarn,Bahnhofstr. 34d
Praxis für Physiotherapie Grit Köllmer,Sachsen-Anhalt,39387,Oschersleben (Bode),Robert-Koch-Straße 4
Praxis für Physiotherapie Henning Putzmann,Nordrhein-Westfalen,46562,Voerde,Alexanderstraße 51a
Praxis für Physiotherapie im Städtischen Krankenhaus Kiel,Schleswig-Holstein,24116,Kiel,Chemnitzstr. 33
Praxis für Physiotherapie Karina & Jan Borutta,Nordrhein-Westfalen,32108,Bad Salzuflen,Auf der Heide 2
Praxis für Physiotherapie Korus Inh.Francesco Scigliano,Nordrhein-Westfalen,59555,Lippstadt,Lippertor 2
Praxis für Physiotherapie Martin Bürger,Nordrhein-Westfalen,32839,Steinheim,Bahnhofsallee 12
Praxis für Physiotherapie Mathias Strampe,Niedersachsen,29328,Faßberg,Neuer Damm 5
Praxis für Physiotherapie Mirco Glaser,Nordrhein-Westfalen,40721,Hilden,Schwanenstraße 5-11
Praxis für Physiotherapie Olaf Blancke,Niedersachsen,26655,Westerstede,An d. Hössen 14
Praxis für Physiotherapie Regina Gonschorek-Greber,Rheinland-Pfalz,55425,Waldalgesheim,Kirchstraße 14
Praxis für Physiotherapie Schmitz & Rosner,Rheinland-Pfalz,54497,Morbach,Bernkastelerstr. 6
"Praxis für Physiotherapie, palliative care und Hippotherapie",Nordrhein-Westfalen,57399,Kirchhundem,Am Bahnhof 3
Praxis Grabenhof,Baden-Württemberg,70734,Fellbach,Hintere Strasse 24
Praxis HandWerk Gbr,Nordrhein-Westfalen,52445,Titz,Von-Leerodt-Straße 26
Praxis ida,Nordrhein-Westfalen,48153,Münster,Dahlweg 112
Praxis Jungwirth & Lerch GbR,Hessen,37284,Waldkappel,Friemer Str. 12
Praxis Serry,Nordrhein-Westfalen,47799,Krefeld,Bismarckstraße 39
Praxis Zappelphilipps,Nordrhein-Westfalen,40764,Langenfeld,Kirchstr. 30
Pro Rehab Schnitzler,Nordrhein-Westfalen,58300,Wetter,Hochstraße 16
pro-physio,Nordrhein-Westfalen,58095,Hagen,Elberfelder Str. 55
ProPhysio GmbH,Niedersachsen,21339,Lüneburg,Stöteroggestr. 71
ProVital'is - Gesundheitsstudio,Niedersachsen,27476,Cuxhaven,Kurparkallee 53
ReAktiv - medical fitness,Hessen,63512,Hainburg,Daimlerstr. 8
Reha & Sport Factory,Rheinland-Pfalz,67105,Schifferstadt,Hauptstr. 22a
Reha fit & fun,Nordrhein-Westfalen,45699,Herten,Antoniusplatz 2
Reha Minden e.V.,Nordrhein-Westfalen,32425,Minden,Kutenhauser Str. 13
Reha Team Unna GmbH,Nordrhein-Westfalen,59425,Unna,Hammer Straße 4-16
Reha- und Gesundheitssport Berlin-Marzahn e.V.,Berlin,12687,Berlin,Trusetaler Str. 35
Reha- und Gesundheitssport Bremen e.V.,Bremen,28207,Bremen,Fleetrade 51
Reha- und Gesundheitssport Lauchdorf e. V.,Bayern,87719,Mindelheim,Kaufbeurer Str. 31
Reha- und Gesundheitsstützpunkt Bocholt e.V.,Nordrhein-Westfalen,46395,Bocholt,Im Königsesch 12
Reha Viersen Sport e.V.,Nordrhein-Westfalen,41751,Viersen,Lindenallee 5b
Reha Zentrum Niederrhein / Emmerich,Nordrhein-Westfalen,46446,Emmerich,Willibrordstrasse 9
rehaaktiv-os Gesundheitszentrum Schinkelbad,Niedersachsen,49084,Osnabrück,Im Wegrott 37
rehabewegt e. V.,Bayern,85276,Pfaffenhofen,Raiffeisenstr. 30
Rehacenter Lünen Brambauer GmbH,Nordrhein-Westfalen,44536,Lünen,Brechtener Str. 57
RehaCura,Baden-Württemberg,71691,Freiberg am Neckar,Kleines Wegle 4
REHA-FIT Gesundheitszentrum Rain,Bayern,86641,Rain,Spitalgasse 10
RehaFit Mettingen e.V.,Nordrhein-Westfalen,49497,Mettingen,Bischofstraße 1
Reha-Fitness-Gesundheit - Schäfer & Schäfer Physio GbR,Rheinland-Pfalz,67655,Kaiserslautern,Lutrinastraße 27
REHAMED Kaiserslautern,Rheinland-Pfalz,67659,Kaiserslautern,Maxstr. 7
Rehamed Rehazentrum Hameln GmbH,Niedersachsen,31785,Hameln,Elsa-Buchwitz-Str. 2
Reha-Natura e.V.,Nordrhein-Westfalen,58313,Herdecke,Zur alten Schule 2
RehaNord,Brandenburg,15344,Strausberg,Prötzeler Chaussee 5
Rehasport am Wiehenpark,Nordrhein-Westfalen,32289,Rödinghausen,Westerbergstr. 35
Rehasport Biggesee e.V.,Nordrhein-Westfalen,57462,Olpe,Imbergstr. 36
Reha-Sport Breitenbach e.V.,Rheinland-Pfalz,66916,Breitenbach,Lautenbacher Str.27
Rehasport Frintrop e.V.,Nordrhein-Westfalen,45359,Essen,Frintroper Str. 597
Rehasport Hochsauerland e.V.,Nordrhein-Westfalen,59929,Brilon,Möhnestraße 40a
Rehasport im fit & feminin,Berlin,12589,Berlin,Füstenwalder Allee 318
Reha-Sport med GmbH,Nordrhein-Westfalen,32049,Herford,Hansastr. 26
Rehasport Nordhorn e.V.,Niedersachsen,48527,Nordhorn,Buschkamp 3
Rehasport P. Eberhardt,Thüringen,37355,Niederorschel,Roteberg 10
Rehasport Toonen,Nordrhein-Westfalen,42555,Velbert,Bonsfelder Straße 21
Rehasport- und Trainingszentrum te Beest,Nordrhein-Westfalen,46414,Rhede,Bahnhofstraße 36a
Rehasport Verein Bergisch-Land e.V.,Nordrhein-Westfalen,51688,Wipperfürth,Im Siepen 59
Reha-Sport-Bildung e.V. ZENTRALE,Thüringen,99189,Elxleben,Osterlange 13
Rehasport-Bodensee Konstanz e.V.,Baden-Württemberg,78462,Konstanz,Bodanstraße 1-3
Reha-Sportclub-Aktiv Weißenfels e.V.,Sachsen-Anhalt,6667,Weißenfels,Leipziger Straße 11
Reha-Sportgemeinschaft Kreis Steinfurt e.V.,Nordrhein-Westfalen,48268,Greven,In den Bergen 30
Rehasportplus e.V.,Rheinland-Pfalz,56072,Koblenz,Am Sportplatz 3
Rehasport-Schwerin e.V.,Mecklenburg-Vorpommern,19053,Schwerin,Lübecker Straße 51
Rehasportverein Neuenstadt-Stein e.V.,Baden-Württemberg,74196,Neuenstadt,Otto-Neumeister-Str. 13
REHA-TRAINING Gesundheitsförderung GbR,Nordrhein-Westfalen,51375,Leverkusen,Am Gesundheitspark 2
Rehavital Gesundheitssport e.V.,Bayern,84030,Ergolding,Festplatzstr. 17
RehaVitalisPlus e.V.,Nordrhein-Westfalen,40589,Düsseldorf,Professor-Oehler-Straße 7
"Rehazen, Gesundheits-, Funktionstraining & RehaSport e.V.",Nordrhein-Westfalen,52146,Würselen,Neuhauser Str. 48
Rehazentrum mediaktiv. e.V.,Nordrhein-Westfalen,58636,Iserlohn,An der Isenburg 15
Rehazentrum SALUTARIS GmbH & Co. KG,Nordrhein-Westfalen,32756,Detmold,Röntgenstr. 16
Reha-Zentrum und Physiotherapie Grahl,Nordrhein-Westfalen,33154,Salzkotten,An der Burg 1
RGB GmbH,Nordrhein-Westfalen,46395,Bocholt,Franzstraße 115
Richrather Sportverein 08 e.V.,Nordrhein-Westfalen,40764,Langenfeld,Kaiserstraße 19a
RTZ Regionales Therapie-Zentrum GmbH,Nordrhein-Westfalen,42109,Wuppertal,Vogelsangstr. 106
Ruhr Sports,Nordrhein-Westfalen,45257,Essen,Hinsbecker Löh 32
Rundum Gesund,Berlin,13435,Berlin,Wittenauer Straße 9
S.K.Physio-Service GmbH,Thüringen,4610,Meuselwitz,Zeitzer Str.44
Sabine Meyer,Rheinland-Pfalz,56379,Singhofen,Schwimmbadstraße 17
Salutaris Schötmar,Nordrhein-Westfalen,32108,Bad Salzuflen,Heldmanstraße 45
Sana Kliniken Düsseldorf GmbH,Nordrhein-Westfalen,40625,Düsseldorf,Gräulinger Str. 120
Sandra Gäbler RehaVital Sport und Therapie,Thüringen,7747,Jena,Karl-Marx-Allee 26
Sanitätshaus Lang GmbH RZD Rehazentrum Dinslaken,Nordrhein-Westfalen,46539,Dinslaken,Krengelstr. 116-118
Sanus Gesundheitszentrum,Thüringen,36433,Moorgrund,Kisselstr. 7
Scharf Fitness & Health GmbH,Brandenburg,15537,Erkner,Friedrichstraße 1-3
Schwefelbad Steinbeck Helmut Determeyer,Nordrhein-Westfalen,49509,Recke,Bad  40
Sebastian Höhnlein - Physiotherapie,Baden-Württemberg,97941,Tauberbischofsheim,Albert-Schweitzer-Str. 2a
SG Langenfeld e.V.,Nordrhein-Westfalen,40764,Langenfeld,Langforter Str. 72
SISSFIT UG,Nordrhein-Westfalen,47574,Goch,Triftstraße 53
SLsports,Baden-Württemberg,73230,Kirchheim,Marie-Curie-Str. 29
